laboratorio,cod_Barra,producto,exist_Caja,sist_Unid,valor_unid,valor_total
PENDIENTE RE,7702277024330,*ARRURRU NAT SHAMPOO RECIEN NACIDO,0,0,"9,000",0
PENDIENTE RE,7702277156277,*ARRURRU NATURALS CREMA LIGERA *,100,0,"20,900",0
PENDIENTE RE,7702277039761,*ARRURRU SHAMPOO * 220 ML ROMERO,0,0,"17,200",0
PENDIENTE RE,7702277074687,*ARRURRU SHAMPOO MANZANILLA * 1075,0,0,"20,300",0
PENDIENTE RE,7702078307489,*ARRURRU SHAMPOO NUTRITIVO *120 ML,0,0,"7,700",0
PENDIENTE RE,7702277156222,*ARRURRU SHAMPOO PH EQUILIBRADO *,40,0,"10,500",0
PENDIENTE RE,7702277131809,*ARRURRU SHAMPOO Y BAÃ‘O LIQ AVENA,0,0,"10,400",0
PENDIENTE RE,7702277131816,*ARRURRU SHAMPOO Y BAÃ‘O LIQ AVENA,0,0,"12,700",0
PENDIENTE RE,7702123823995,*ASPIRINA 100MG TAB CJA *,1000,0,"22,800",0
PENDIENTE RE,7702123822349,*ASPIRINA 500MG EFERVESCENTE CJA *,0,0,"41,000",0
PENDIENTE RE,7702277144670,*BARBIE JABON LIQ ANTIBACTERIAL *,30,0,"12,200",0
PENDIENTE RE,7702277064183,*BARBIE SHAMPOO MZNLLA DE COMPRA X,0,0,"16,100",0
PENDIENTE RE,7702277059011,*BARBIE SHAMPOO STAR STYLE 2EN1 *,20,0,"10,200",0
PENDIENTE RE,7702277075158,*BELLEZA EXPRES MANZANILLA SHAMPOO,0,0,"14,800",0
PENDIENTE RE,7702354934682,*BIOEXPERT ACOND REVITALIZACION,0,0,600,0
PENDIENTE RE,7702354934651,*BIOEXPERT CREMA DE PEINAR CONTROL,0,0,"9,700",0
PENDIENTE RE,7702277048077,*BIOHERBAL GEL FIJADOR GINSENG *,250,0,"8,100",0
PENDIENTE RE,7702277047834,*BIOHERBAL SHAMPOO CABELLO GRASO *,0,0,"12,700",0
"PENDIENTE RE05097,",770218901,*BOLICHEETOS,0,0,600,0
PENDIENTE RE,7702132007034,*CALTRATE 600 D MG X 60 TABLS,0,0,"40,200",0
PENDIENTE RE,7702132037031,*CALTRATE 600 D PAGUE 60 LLEVE,900,0,"50,000",0
PENDIENTE RE,7702132007065,*CALTRATE 600 PLUS X 30 TABLS,0,0,"37,500",0
PENDIENTE RE,7702132037055,*CALTRATE 600 PLUS X 60 TABL GTS,300,0,"51,600",0
PENDIENTE RE,7702132007041,*CALTRATE 600MG D *30 TAB,0,0,"32,500",0
PENDIENTE RE,7702123002154,",7*CARDIOASPIRINA 81 MG X 24 TAB",0,0,"27,300",0
PENDIENTE RE,7702418005242,*CEBION MAST FRESA X 100 TBS GTS,300,0,0,0
PENDIENTE RE,7702418000926,*CEBION MAST FRESA X 144 TAB,0,0,0,0
PENDIENTE RE,7702418000810,*CEBION MAST NARANJA X 144 TB,0,0,0,0
PENDIENTE RE,7702418005266,*CEBION MAST TROPICAL X 100 TBSGTS,0,0,0,0
PENDIENTE RE,7702418000834,*CEBION MAST TROPICAL X 144  TAB,0,0,0,0
PENDIENTE RE,7702418004795,*CEBION MAST X 12 TBS PAG 2 LLEV 3,0,0,0,0
PENDIENTE RE,7702132006952,*CENTRUM JUNIOR X 30 TABLS,0,0,"24,200",0
PENDIENTE RE,7702132026752,*CENTRUM LUTEINA PAG 100 LLEVE 130,0,0,"47,000",0
PENDIENTE RE,7702132007317,*CENTRUM LUTEINA X 30 TABLS,0,0,"21,900",0
PENDIENTE RE,7702132007300,*CENTRUM LUTEINA X 60 TABLS,0,0,"36,100",0
PENDIENTE RE,7702132655112,*CENTRUM SILVER +50 PAG 100 LLEV,130,0,"70,900",0
PENDIENTE RE,7702132006747,*CENTRUM SILVER X 100 TBS,0,0,"69,600",0
PENDIENTE RE,7702132007362,*CENTRUM SILVER X 30 TBS,0,0,"24,900",0
PENDIENTE RE,7702132007355,*CENTRUM SILVER X 60 TBS,0,0,"40,600",0
PENDIENTE RE,7702277626237,*CEPILLO SHOCK MANGO PLASTICO TIPO,0,0,"33,000",0
PENDIENTE RE,3499320003018,*CETAPHIL DEFENSE SPF 50 X 50  ML,0,0,0,0
PENDIENTE RE,302993927082,*CETAPHIL LIMP PIEL GRASA X,2360,0,0,0
PENDIENTE RE,3499320000611,*CETAPHIL LOCION X 125 ML,0,0,0,0
PENDIENTE RE,7702132122829,*CHAP STICK CEREZA+ULTRAHUMECTANTE,0,0,0,0
PENDIENTE RE,7702132011734,",7*CHAP STICK GANCHERA PAG 20 LLEVE",20,0,0,0
PENDIENTE RE,7702132131609,*CHAPSTICK CEREZA X 4.2 LLEVA MINI,0,0,"11,900",0
PENDIENTE RE,7702132151607,*CHAPSTICK CEREZA X 4.2 LLEVA MINI,0,0,"11,900",0
PENDIENTE RE,7702189044723,*CHEETOS CRISPETA QUESO BLANCO *,720,0,"1,400",0
PENDIENTE RE,7706142406092,*COLIRIO AZUL X 10 ML,0,0,"8,500",0
PENDIENTE RE,7702277033219,*COLONIA ARRURRU AZUL X 1075 ML,0,0,"41,500",0
PENDIENTE RE,7702277029434,*COLONIA MICKEY MOUSE  SPRAY   X,700,0,0,0
PENDIENTE RE,7702277050063,*COLONIA MICKEY MOUSE  SPRAY X 120,0,0,"17,200",0
PENDIENTE RE,7701021118608,*CONTENT BASIC T-L X,80,0,"13,900",0
PENDIENTE RE,7701021115263,*CONTENT BASIC T-M X,80,0,"13,300",0
PENDIENTE RE,7701031113054,*CONTENT EXTRA M X 8,0,0,"16,300",0
